Time, Sample Count, IR Count, Red Count, Raw ECG, Raw ECG (mV), Filtered ECG, Filtered ECG (mV)
2023-10-21 23:44:56.673,16828,219419,194181,-6511,-1.993505425,-7060,-2.1615955
2023-10-21 23:44:56.705,16829,219452,194202,-6187,-1.894304725,-6919,-2.118424825
2023-10-21 23:44:56.736,16830,219450,194200,-6301,-1.929208675,-6940,-2.1248545
2023-10-21 23:44:56.736,16831,219486,194196,-5712,-1.7488716,-6904,-2.1138322
2023-10-21 23:44:56.736,16832,219486,194217,-5542,-1.69682185,-6745,-2.065150375
2023-10-21 23:44:56.736,16833,219505,194207,-6219,-1.904102325,-6710,-2.05443425
2023-10-21 23:44:56.766,16834,219529,194211,-6140,-1.8799145,-6785,-2.077397375
2023-10-21 23:44:56.766,16835,219539,194219,-5610,-1.71764175,-6774,-2.07402945
2023-10-21 23:44:56.766,16836,219558,194230,-5994,-1.83521295,-6762,-2.07035535
2023-10-21 23:44:56.766,16837,219560,194222,-6393,-1.957376775,-6767,-2.071886225
2023-10-21 23:44:56.766,16838,219591,194234,-5735,-1.755913625,-6731,-2.060863925
2023-10-21 23:44:56.798,16839,219600,194233,-6021,-1.843479675,-6681,-2.045555175
2023-10-21 23:44:56.798,16840,219617,194233,-6573,-2.012488275,-6660,-2.0391255
2023-10-21 23:44:56.798,16841,219633,194236,-6022,-1.84378585,-6661,-2.039431675
2023-10-21 23:44:56.798,16842,219644,194246,-5678,-1.73846165,-6751,-2.066987425
2023-10-21 23:44:56.830,16843,219668,194251,-6111,-1.871035425,-7177,-2.197417975
2023-10-21 23:44:56.830,16844,219698,194256,-5640,-1.726827,-7421,-2.272124675
2023-10-21 23:44:56.830,16845,219713,194263,-5258,-1.60986815,-7197,-2.203541475
2023-10-21 23:44:56.830,16846,219769,194281,-5989,-1.833682075,-6850,-2.09729875
2023-10-21 23:44:56.830,16847,219806,194289,-6238,-1.90991965,-6624,-2.0281032
2023-10-21 23:44:56.830,16848,219835,194319,-5485,-1.679369875,-6352,-1.9448236
2023-10-21 23:44:56.830,16849,219877,194320,-5509,-1.686718075,-6046,-1.85113405
2023-10-21 23:44:56.860,16850,219897,194324,-6001,-1.837356175,-5902,-1.80704485
2023-10-21 23:44:56.860,16851,219935,194342,-5890,-1.80337075,-5819,-1.781632325
2023-10-21 23:44:56.860,16852,219978,194366,-5802,-1.77642735,-5736,-1.7562198
2023-10-21 23:44:56.860,16853,220003,194365,-6442,-1.97237935,-5877,-1.799390475
2023-10-21 23:44:56.860,16854,220030,194378,-6356,-1.9460483,-6147,-1.882057725
2023-10-21 23:44:56.860,16855,220061,194398,-5917,-1.811637475,-6213,-1.902265275
2023-10-21 23:44:56.860,16856,220090,194401,-6626,-2.02871555,-6169,-1.888793575
2023-10-21 23:44:56.890,16857,220128,194427,-6708,-2.0538219,-6138,-1.87930215
2023-10-21 23:44:56.890,16858,220140,194437,-6216,-1.9031838,-6029,-1.845929075
2023-10-21 23:44:56.890,16859,220167,194436,-6591,-2.017999425,-5961,-1.825109175
2023-10-21 23:44:56.890,16860,220200,194453,-7191,-2.201704425,-5974,-1.82908945
2023-10-21 23:44:56.890,16861,220230,194447,-6687,-2.047392225,-5981,-1.831232675
2023-10-21 23:44:56.890,16862,220237,194462,-6622,-2.02749085,-5960,-1.824803
2023-10-21 23:44:56.890,16863,220232,194459,-7317,-2.240282475,-5997,-1.836131475
2023-10-21 23:44:56.890,16864,220203,194428,-7193,-2.202316775,-5979,-1.830620325
2023-10-21 23:44:56.890,16865,220159,194402,-6814,-2.08627645,-5862,-1.79479785
2023-10-21 23:44:56.923,16866,220070,194356,-7472,-2.2877396,-5787,-1.771834725
2023-10-21 23:44:56.923,16867,219956,194317,-7658,-2.34468815,-5845,-1.789592875
2023-10-21 23:44:56.923,16868,219831,194244,-7119,-2.179659825,-5842,-1.78867435
2023-10-21 23:44:56.923,16869,219670,194166,-7512,-2.2999866,-5838,-1.78744965
2023-10-21 23:44:56.923,16870,219467,194082,-8138,-2.49165215,-5858,-1.79357315
2023-10-21 23:44:56.923,16871,219268,193992,-7618,-2.33244115,-5919,-1.812249825
2023-10-21 23:44:56.923,16872,219052,193905,-7413,-2.269675275,-5949,-1.821435075
2023-10-21 23:44:56.923,16873,218827,193815,-8104,-2.4812422,-6111,-1.871035425
2023-10-21 23:44:56.923,16874,218596,193719,-8065,-2.469301375,-6370,-1.95033475
2023-10-21 23:44:56.953,16875,218363,193635,-7694,-2.35571045,-6464,-1.9791152
2023-10-21 23:44:56.953,16876,218142,193527,-8422,-2.57860585,-6520,-1.996261
2023-10-21 23:44:56.953,16877,217922,193439,-8712,-2.6673966,-6626,-2.02871555
2023-10-21 23:44:56.953,16878,217693,193368,-8214,-2.51492145,-6639,-2.032695825
2023-10-21 23:44:56.953,16879,217461,193266,-8440,-2.584117,-6652,-2.0366761
2023-10-21 23:44:56.953,16880,217293,193194,-9025,-2.763229375,-6824,-2.0893382
2023-10-21 23:44:56.953,16881,217121,193144,-8680,-2.657599,-6992,-2.1407756
2023-10-21 23:44:56.985,16882,216955,193056,-8575,-2.625450625,-7034,-2.15363495
2023-10-21 23:44:56.985,16883,216829,193019,-9317,-2.852632475,-7119,-2.179659825
2023-10-21 23:44:56.985,16884,216712,192963,-9138,-2.79782715,-7229,-2.213339075
2023-10-21 23:44:56.985,16885,216618,192936,-8556,-2.6196333,-7244,-2.2179317
2023-10-21 23:44:56.985,16886,216521,192894,-9355,-2.864267125,-7326,-2.24303805
2023-10-21 23:44:56.985,16887,216476,192876,-9684,-2.9649987,-7539,-2.308253325
2023-10-21 23:44:56.985,16888,216443,192842,-9041,-2.768128175,-7638,-2.33856465
2023-10-21 23:44:56.985,16889,216391,192847,-9230,-2.82599525,-7629,-2.335809075
2023-10-21 23:44:57.015,16890,216355,192825,-9752,-2.9858186,-7717,-2.362752475
2023-10-21 23:44:57.015,16891,216351,192815,-9236,-2.8278323,-7809,-2.390920575
2023-10-21 23:44:57.015,16892,216310,192806,-9117,-2.791397475,-7831,-2.397656425
2023-10-21 23:44:57.015,16893,216293,192803,-9905,-3.032663375,-7955,-2.435622125
2023-10-21 23:44:57.015,16894,216290,192798,-9727,-2.978164225,-8158,-2.49777565
2023-10-21 23:44:57.015,16895,216261,192783,-9089,-2.782824575,-8257,-2.528086975
2023-10-21 23:44:57.015,16896,216241,192767,-9724,-2.9772457,-8361,-2.559929175
2023-10-21 23:44:57.046,16897,216231,192765,-10013,-3.065730275,-8568,-2.6233074
2023-10-21 23:44:57.046,16898,216220,192771,-9263,-2.836099025,-8682,-2.65821135
2023-10-21 23:44:57.046,16899,216189,192752,-9260,-2.8351805,-8705,-2.665253375
2023-10-21 23:44:57.046,16900,216155,192720,-9781,-2.994697675,-8827,-2.702606725
2023-10-21 23:44:57.046,16901,216134,192720,-9149,-2.801195075,-8904,-2.7261822
2023-10-21 23:44:57.046,16902,216098,192704,-8674,-2.65576195,-8879,-2.718527825
2023-10-21 23:44:57.078,16903,216061,192682,-9220,-2.8229335,-9003,-2.756493525
2023-10-21 23:44:57.078,16904,216022,192673,-9029,-2.764454075,-9203,-2.817728525
2023-10-21 23:44:57.079,16905,215968,192648,-8281,-2.535435175,-9234,-2.82721995
2023-10-21 23:44:57.079,16906,215912,192631,-8407,-2.574013225,-9222,-2.82354585
2023-10-21 23:44:57.079,16907,215886,192611,-8459,-2.589934325,-9283,-2.842222525
2023-10-21 23:44:57.079,16908,215836,192594,-7653,-2.343157275,-9288,-2.8437534
2023-10-21 23:44:57.079,16909,215791,192576,-7682,-2.35203635,-9283,-2.842222525
2023-10-21 23:44:57.108,16910,215758,192546,-8077,-2.472975475,-9382,-2.87253385
2023-10-21 23:44:57.108,16911,215743,192547,-7231,-2.213951425,-9459,-2.896109325
2023-10-21 23:44:57.108,16912,215722,192530,-6833,-2.092093775,-9420,-2.8841685
2023-10-21 23:44:57.108,16913,215705,192534,-7541,-2.308865675,-9410,-2.88110675
2023-10-21 23:44:57.108,16914,215725,192544,-7125,-2.181496875,-9463,-2.897334025
2023-10-21 23:44:57.108,16915,215728,192552,-6579,-2.014325325,-9489,-2.905294575
2023-10-21 23:44:57.108,16916,215756,192561,-7125,-2.181496875,-9505,-2.910193375
2023-10-21 23:44:57.139,16917,215792,192571,-7128,-2.1824154,-9526,-2.91662305
2023-10-21 23:44:57.139,16918,215845,192584,-6369,-1.950028575,-9528,-2.9172354
2023-10-21 23:44:57.139,16919,215883,192605,-6490,-1.98707575,-9509,-2.911418075
2023-10-21 23:44:57.139,16920,215913,192610,-6876,-2.1052593,-9364,-2.8670227
2023-10-21 23:44:57.139,16921,215965,192627,-6347,-1.943292725,-9191,-2.814054425
2023-10-21 23:44:57.139,16922,215995,192648,-5907,-1.808575725,-8922,-2.73169335
2023-10-21 23:44:57.139,16923,216034,192655,-6402,-1.96013235,-8697,-2.662803975
2023-10-21 23:44:57.139,16924,216064,192671,-6182,-1.89277385,-8541,-2.615040675
2023-10-21 23:44:57.139,16925,216097,192675,-5628,-1.7231529,-8274,-2.53329195
2023-10-21 23:44:57.171,16926,216113,192695,-6136,-1.8786898,-8037,-2.460728475
2023-10-21 23:44:57.172,16927,216129,192680,-6406,-1.96135705,-7915,-2.423375125
2023-10-21 23:44:57.172,16928,216125,192671,-5708,-1.7476469,-7661,-2.345606675
2023-10-21 23:44:57.172,16929,216130,192680,-5566,-1.70417005,-7379,-2.259265325
2023-10-21 23:44:57.172,16930,216115,192661,-6038,-1.84868465,-7320,-2.241201
2023-10-21 23:44:57.172,16931,216117,192676,-5637,-1.725908475,-7257,-2.221911975
2023-10-21 23:44:57.172,16932,216116,192679,-5507,-1.686105725,-7083,-2.168637525
2023-10-21 23:44:57.202,16933,216103,192660,-6059,-1.855114325,-7030,-2.15241025
2023-10-21 23:44:57.202,16934,216095,192661,-5819,-1.781632325,-7012,-2.1468991
2023-10-21 23:44:57.202,16935,216069,192646,-5119,-1.567309825,-6856,-2.0991358
2023-10-21 23:44:57.202,16936,216066,192650,-5569,-1.705088575,-6745,-2.065150375
2023-10-21 23:44:57.202,16937,216028,192646,-5652,-1.7305011,-6756,-2.0685183
2023-10-21 23:44:57.234,16938,216026,192648,-4934,-1.51066745,-6674,-2.04341195
2023-10-21 23:44:57.234,16939,216007,192620,-5121,-1.567922175,-6490,-1.98707575
2023-10-21 23:44:57.234,16940,216006,192624,-5614,-1.71886645,-6382,-1.95400885
2023-10-21 23:44:57.234,16941,216005,192621,-5087,-1.557512225,-6290,-1.92584075
2023-10-21 23:44:57.234,16942,216008,192629,-4837,-1.480968475,-6133,-1.877771275
2023-10-21 23:44:57.234,16943,216009,192631,-5285,-1.618134875,-6105,-1.869198375
2023-10-21 23:44:57.234,16944,216002,192624,-5084,-1.5565937,-6168,-1.8884874
2023-10-21 23:44:57.265,16945,216027,192630,-4703,-1.439941025,-6093,-1.865524275
2023-10-21 23:44:57.265,16946,216026,192630,-5032,-1.5406726,-5979,-1.830620325
2023-10-21 23:44:57.267,16947,216058,192660,-5179,-1.585680325,-5960,-1.824803
2023-10-21 23:44:57.267,16948,216075,192650,-4578,-1.40166915,-5931,-1.815923925
2023-10-21 23:44:57.267,16949,216096,192671,-4661,-1.427081675,-5901,-1.806738675
2023-10-21 23:44:57.267,16950,216124,192688,-5192,-1.5896606,-5916,-1.8113313
2023-10-21 23:44:57.296,16951,216149,192690,-4668,-1.4292249,-5911,-1.809800425
2023-10-21 23:44:57.296,16952,216173,192703,-4298,-1.31594015,-5848,-1.7905114
2023-10-21 23:44:57.296,16953,216224,192721,-4949,-1.515260075,-5762,-1.76418035
2023-10-21 23:44:57.296,16954,216253,192728,-4904,-1.5014822,-5727,-1.753464225
2023-10-21 23:44:57.296,16955,216280,192738,-4402,-1.34778235,-5640,-1.726827
2023-10-21 23:44:57.328,16956,216314,192747,-4839,-1.481580825,-5494,-1.68212545
2023-10-21 23:44:57.328,16957,216347,192763,-4818,-1.47515115,-5430,-1.66253025
2023-10-21 23:44:57.328,16958,216372,192782,-4295,-1.315021625,-5350,-1.63803625
2023-10-21 23:44:57.328,16959,216418,192793,-4386,-1.34288355,-5249,-1.607112575
2023-10-21 23:44:57.328,16960,216441,192809,-4835,-1.480356125,-5246,-1.60619405
2023-10-21 23:44:57.328,16961,216472,192810,-4423,-1.354212025,-5246,-1.60619405
2023-10-21 23:44:57.328,16962,216512,192823,-4199,-1.285628825,-5184,-1.5872112
